time,Filename,abs_time,Tube,ToD,Day,Actinic_par,OD680,OD720
154,20250128_B2201_MCMIX004_567_156,2025-01-21T21:24:00Z,5,7,6,45.4997,0.04561,0.02788
155,20250128_B2201_MCMIX004_567_156,2025-01-21T21:30:00Z,5,8,6,12.4999,0.04674,0.02975
156,20250128_B2201_MCMIX004_567_156,2025-01-21T21:36:00Z,5,9,6,0.4999,0.04577,0.02804
157,20250128_B2201_MCMIX004_567_156,2025-01-21T21:42:00Z,5,10,7,0.4999,0.04449,0.02819
158,20250128_B2201_MCMIX004_567_156,2025-01-21T21:48:00Z,5,11,7,0.4999,0.04513,0.02603
159,20250128_B2201_MCMIX004_567_156,2025-01-21T21:54:00Z,5,12,7,0.4999,0.04513,0.02881
160,20250128_B2201_MCMIX004_567_156,2025-01-21T22:00:00Z,5,13,7,0.4999,0.04561,0.02881
161,20250128_B2201_MCMIX004_567_156,2025-01-21T22:06:00Z,5,14,7,0.4999,0.04706,0.03791
162,20250128_B2201_MCMIX004_567_156,2025-01-21T22:12:00Z,5,15,7,0.4999,0.0461,0.03162
163,20250128_B2201_MCMIX004_567_156,2025-01-21T22:18:00Z,5,16,7,0.4999,0.04819,0.03021
164,20250128_B2201_MCMIX004_567_156,2025-01-21T22:24:00Z,5,17,7,0.4999,0.04545,0.03006
165,20250128_B2201_MCMIX004_567_156,2025-01-21T22:30:00Z,5,18,7,0.4999,0.04369,0.02511
166,20250128_B2201_MCMIX004_567_156,2025-01-21T22:36:00Z,5,19,7,0.4999,0.04097,0.02897
167,20250128_B2201_MCMIX004_567_156,2025-01-21T22:42:00Z,5,20,7,0.4999,0.05752,0.02897
168,20250128_B2201_MCMIX004_567_156,2025-01-21T22:48:00Z,5,21,7,0.4999,0.04417,0.02819
171,20250128_B2201_MCMIX004_567_156,2025-01-21T23:06:00Z,5,0,7,89.5026,0.05209,0.03208
172,20250128_B2201_MCMIX004_567_156,2025-01-21T23:12:00Z,5,1,7,134.5003,0.05735,0.03491
173,20250128_B2201_MCMIX004_567_156,2025-01-21T23:18:00Z,5,2,7,167.5001,0.05719,0.0368
174,20250128_B2201_MCMIX004_567_156,2025-01-21T23:24:00Z,5,3,7,179.987,0.05735,0.03633
175,20250128_B2201_MCMIX004_567_156,2025-01-21T23:30:00Z,5,4,7,168.499,0.05603,0.04013
176,20250128_B2201_MCMIX004_567_156,2025-01-21T23:36:00Z,5,5,7,135.4979,0.06874,0.04833
178,20250128_B2201_MCMIX004_567_156,2025-01-21T23:48:00Z,5,7,7,45.4997,0.07317,0.05159
180,20250128_B2201_MCMIX004_567_156,2025-01-22T00:00:00Z,5,9,8,0.4999,0.06654,0.04817
181,20250128_B2201_MCMIX004_567_156,2025-01-22T00:06:00Z,5,10,8,0.4999,0.06452,0.04606
183,20250128_B2201_MCMIX004_567_156,2025-01-22T00:18:00Z,5,12,8,0.4999,0.06502,0.04494
184,20250128_B2201_MCMIX004_567_156,2025-01-22T00:24:00Z,5,13,8,0.4999,0.061,0.04125
185,20250128_B2201_MCMIX004_567_156,2025-01-22T00:30:00Z,5,14,8,0.4999,0.06418,0.04237
186,20250128_B2201_MCMIX004_567_156,2025-01-22T00:36:00Z,5,15,8,0.4999,0.05636,0.03838
187,20250128_B2201_MCMIX004_567_156,2025-01-22T00:42:00Z,5,16,8,0.4999,0.05801,0.04013
188,20250128_B2201_MCMIX004_567_156,2025-01-22T00:48:00Z,5,17,8,0.4999,0.05636,0.03491
189,20250128_B2201_MCMIX004_567_156,2025-01-22T00:54:00Z,5,18,8,0.4999,0.06384,0.04093
190,20250128_B2201_MCMIX004_567_156,2025-01-22T01:00:00Z,5,19,8,0.4999,0.05834,0.03617
191,20250128_B2201_MCMIX004_567_156,2025-01-22T01:06:00Z,5,20,8,0.4999,0.06,0.03775
192,20250128_B2201_MCMIX004_567_156,2025-01-22T01:12:00Z,5,21,8,0.4999,0.05917,0.03965
193,20250128_B2201_MCMIX004_567_156,2025-01-22T01:18:00Z,5,22,8,11.501,0.06067,0.03791
194,20250128_B2201_MCMIX004_567_156,2025-01-22T01:24:00Z,5,23,8,44.5021,0.06034,0.03838
195,20250128_B2201_MCMIX004_567_156,2025-01-22T01:30:00Z,5,0,8,89.5026,0.06704,0.04429
196,20250128_B2201_MCMIX004_567_156,2025-01-22T01:36:00Z,5,1,8,134.5003,0.07078,0.04301
197,20250128_B2201_MCMIX004_567_156,2025-01-22T01:42:00Z,5,2,8,167.5001,0.07834,0.04996
198,20250128_B2201_MCMIX004_567_156,2025-01-22T01:48:00Z,5,3,8,179.5001,0.07782,0.05241
199,20250128_B2201_MCMIX004_567_156,2025-01-22T01:54:00Z,5,4,8,168.499,0.08043,0.05702
200,20250128_B2201_MCMIX004_567_156,2025-01-22T02:00:00Z,5,5,8,135.4979,0.08657,0.05818
202,20250128_B2201_MCMIX004_567_156,2025-01-22T02:12:00Z,5,7,8,45.4997,0.06704,0.04671
203,20250128_B2201_MCMIX004_567_156,2025-01-22T02:18:00Z,5,8,8,12.4999,0.06368,0.04301
204,20250128_B2201_MCMIX004_567_156,2025-01-22T02:24:00Z,5,9,8,0.4999,0.05901,0.04558
205,20250128_B2201_MCMIX004_567_156,2025-01-22T02:30:00Z,5,10,9,0.4999,0.05917,0.04269
206,20250128_B2201_MCMIX004_567_156,2025-01-22T02:36:00Z,5,11,9,0.4999,0.05967,0.04285
207,20250128_B2201_MCMIX004_567_156,2025-01-22T02:42:00Z,5,12,9,0.4999,0.05587,0.04189
209,20250128_B2201_MCMIX004_567_156,2025-01-22T02:54:00Z,5,14,9,0.4999,0.05161,0.03712
210,20250128_B2201_MCMIX004_567_156,2025-01-22T03:00:00Z,5,15,9,0.4999,0.04965,0.03302
211,20250128_B2201_MCMIX004_567_156,2025-01-22T03:06:00Z,5,16,9,0.4999,0.04722,0.03068
212,20250128_B2201_MCMIX004_567_156,2025-01-22T03:12:00Z,5,17,9,0.4999,0.0503,0.02928
213,20250128_B2201_MCMIX004_567_156,2025-01-22T03:18:00Z,5,18,9,0.4999,0.05258,0.02912
214,20250128_B2201_MCMIX004_567_156,2025-01-22T03:24:00Z,5,19,9,0.4999,0.04852,0.03428
215,20250128_B2201_MCMIX004_567_156,2025-01-22T03:30:00Z,5,20,9,0.4999,0.04401,0.0268
217,20250128_B2201_MCMIX004_567_156,2025-01-22T03:42:00Z,5,22,9,11.501,0.05488,0.09597
218,20250128_B2201_MCMIX004_567_156,2025-01-22T03:48:00Z,5,23,9,44.5021,0.04658,0.02866
219,20250128_B2201_MCMIX004_567_156,2025-01-22T03:54:00Z,5,0,9,89.5026,0.12325,0.03522
220,20250128_B2201_MCMIX004_567_156,2025-01-22T04:00:00Z,5,1,9,134.5003,0.0834,0.05553
224,20250128_B2201_MCMIX004_567_156,2025-01-22T04:24:00Z,5,5,9,135.4979,0.11318,0.07684
226,20250128_B2201_MCMIX004_567_156,2025-01-22T04:36:00Z,5,7,9,45.4997,0.11393,0.08418
227,20250128_B2201_MCMIX004_567_156,2025-01-22T04:42:00Z,5,8,9,12.4999,0.1113,0.08066
228,20250128_B2201_MCMIX004_567_156,2025-01-22T04:48:00Z,5,9,10,0.4999,0.11243,0.07927
229,20250128_B2201_MCMIX004_567_156,2025-01-22T04:54:00Z,5,10,10,0.4999,0.10628,0.07875
230,20250128_B2201_MCMIX004_567_156,2025-01-22T05:00:00Z,5,11,10,0.4999,0.10204,0.0715
231,20250128_B2201_MCMIX004_567_156,2025-01-22T05:06:00Z,5,12,10,0.4999,0.10499,0.07684
232,20250128_B2201_MCMIX004_567_156,2025-01-22T05:12:00Z,5,13,10,0.4999,0.1004,0.07287
233,20250128_B2201_MCMIX004_567_156,2025-01-22T05:18:00Z,5,14,10,0.4999,0.09695,0.07081
234,20250128_B2201_MCMIX004_567_156,2025-01-22T05:24:00Z,5,15,10,0.4999,0.09406,0.0669
235,20250128_B2201_MCMIX004_567_156,2025-01-22T05:30:00Z,5,16,10,0.4999,0.09424,0.0669
236,20250128_B2201_MCMIX004_567_156,2025-01-22T05:36:00Z,5,17,10,0.4999,0.09424,0.06403
237,20250128_B2201_MCMIX004_567_156,2025-01-22T05:42:00Z,5,18,10,0.4999,0.08799,0.06639
238,20250128_B2201_MCMIX004_567_156,2025-01-22T05:48:00Z,5,19,10,0.4999,0.08905,0.06285
239,20250128_B2201_MCMIX004_567_156,2025-01-22T05:54:00Z,5,20,10,0.4999,0.09101,0.06369
